ETHUSDT
BTCUSDT
BTSUSDT
RAYUSDT
ZRXUSDT
CVCUSDT
NUUSDT
HOTUSDT
DOGEUSDT
ALPHAUSDT
TRXUSDT
RSRUSDT
CELRUSDT
DGBUSDT
SKLUSDT
RENUSDT
IOTAUSDT
